date,state,percentile,variable,income
1/1/2024,Johor,1,mean,1638
2024,Johor,1,median,1682
1/1/2024,Johor,1,minimum,1994
1/1/2024,Johor,1,maximum,1912
1/1/2024,Johor,2,mean,2076
1/1/2024,Johor,2,median,2084
1/1/2024,Johor,2,minimum,1912
1/1/2024,Johor,2,maximum,2216
1/1/2024,Johor,3,mean,2337
1/1/2024,Johor,3,median,2343
1/1/2024,Johor,3,minimum,2218
1/1/2024,Johor,3,maximum,2471
1/1/2024,Johor,4,mean,2567
1/1/2024,Johor,4,median,2574
1/1/2024,Johor,4,minimum,2473
1/1/2024,Johor,4,maximum,2645
1/1/2024,Johor,5,mean,2751
1/1/2024,Johor,5,median,2762
1/1/2024,Johor,5,minimum,2646
1/1/2024,Johor,5,maximum,2833
1/1/2024,Johor,6,mean,2920
1/1/2024,Johor,6,median,2912
1/1/2024,Johor,6,minimum,2841
1/1/2024,Johor,6,maximum,2983
1/1/2024,Johor,7,mean,3050
1/1/2024,Johor,7,median,3052
1/1/2024,Johor,7,minimum,2986
1/1/2024,Johor,7,maximum,3119
1/1/2024,Johor,8,mean,3190
1/1/2024,Johor,8,median,3192
1/1/2024,Johor,8,minimum,3123
1/1/2024,Johor,8,maximum,3262
1/1/2024,Johor,9,mean,3323
1/1/2024,Johor,9,median,3324
1/1/2024,Johor,9,minimum,3264
1/1/2024,Johor,9,maximum,3389
1/1/2024,Johor,10,mean,3452
1/1/2024,Johor,10,median,3444
1/1/2024,Johor,10,minimum,3394
1/1/2024,Johor,10,maximum,3513
1/1/2024,Johor,11,mean,3567
1/1/2024,Johor,11,median,3571
1/1/2024,Johor,11,minimum,3515
1/1/2024,Johor,11,maximum,3621
1/1/2024,Johor,12,mean,3677
1/1/2024,Johor,12,median,3668
1/1/2024,Johor,12,minimum,3624
1/1/2024,Johor,12,maximum,3738
1/1/2024,Johor,13,mean,3773
1/1/2024,Johor,13,median,3768
1/1/2024,Johor,13,minimum,3739
1/1/2024,Johor,13,maximum,3824
