date,state,percentile,variable,income
2024,Johor,1,mean,1638
2024,Johor,1,median,1682
2024,Johor,1,minimum,1994
2024,Johor,1,maximum,1912
2024,Johor,2,mean,2076
2024,Johor,2,median,2084
2024,Johor,2,minimum,1912
2024,Johor,2,maximum,2216
2024,Johor,3,mean,2337
2024,Johor,3,median,2343
2024,Johor,3,minimum,2218
2024,Johor,3,maximum,2471
2024,Johor,4,mean,2567
2024,Johor,4,median,2574
2024,Johor,4,minimum,2473
2024,Johor,4,maximum,2645
2024,Johor,5,mean,2751
2024,Johor,5,median,2762
2024,Johor,5,minimum,2646
2024,Johor,5,maximum,2833
2024,Johor,6,mean,2920
2024,Johor,6,median,2912
2024,Johor,6,minimum,2841
2024,Johor,6,maximum,2983
2024,Johor,7,mean,3050
2024,Johor,7,median,3052
2024,Johor,7,minimum,2986
2024,Johor,7,maximum,3119
2024,Johor,8,mean,3190
2024,Johor,8,median,3192
2024,Johor,8,minimum,3123
2024,Johor,8,maximum,3262
2024,Johor,9,mean,3323
2024,Johor,9,median,3324
2024,Johor,9,minimum,3264
2024,Johor,9,maximum,3389
2024,Johor,10,mean,3452
2024,Johor,10,median,3444
2024,Johor,10,minimum,3394
2024,Johor,10,maximum,3513
2024,Johor,11,mean,3567
2024,Johor,11,median,3571
2024,Johor,11,minimum,3515
2024,Johor,11,maximum,3621
2024,Johor,12,mean,3677
2024,Johor,12,median,3668
2024,Johor,12,minimum,3624
2024,Johor,12,maximum,3738
2024,Johor,13,mean,3773
2024,Johor,13,median,3768
2024,Johor,13,minimum,3739
2024,Johor,13,maximum,3824
2024,Johor,14,mean,3869
2024,Johor,14,median,3857
2024,Johor,14,minimum,3828
2024,Johor,14,maximum,3948
2024,Johor,15,mean,4018
2024,Johor,15,median,4024
2024,Johor,15,minimum,3950
2024,Johor,15,maximum,4068
2024,Johor,16,mean,4104
2024,Johor,16,median,4110
2024,Johor,16,minimum,4069
2024,Johor,16,maximum,4138
2024,Johor,17,mean,4181
2024,Johor,17,median,4169
2024,Johor,17,minimum,4141
2024,Johor,17,maximum,4240
2024,Johor,18,mean,4289
2024,Johor,18,median,4293
2024,Johor,18,minimum,4240
2024,Johor,18,maximum,4338
2024,Johor,19,mean,4397
2024,Johor,19,median,4400
2024,Johor,19,minimum,4339
2024,Johor,19,maximum,4467
2024,Johor,20,mean,4514
2024,Johor,20,median,4505
2024,Johor,20,minimum,4468
2024,Johor,20,maximum,4569
2024,Johor,21,mean,4614
2024,Johor,21,median,4619
2024,Johor,21,minimum,4569
2024,Johor,21,maximum,4652
2024,Johor,22,mean,4707
2024,Johor,22,median,4711
2024,Johor,22,minimum,4652
2024,Johor,22,maximum,4751
2024,Johor,23,mean,4806
2024,Johor,23,median,4810
2024,Johor,23,minimum,4752
2024,Johor,23,maximum,4847
2024,Johor,24,mean,4893
2024,Johor,24,median,4893
2024,Johor,24,minimum,4848
2024,Johor,24,maximum,4938
2024,Johor,25,mean,5001
2024,Johor,25,median,4996
2024,Johor,25,minimum,4939
2024,Johor,25,maximum,5054
2024,Johor,26,mean,5109
2024,Johor,26,median,5110
2024,Johor,26,minimum,5057
2024,Johor,26,maximum,5156
2024,Johor,27,mean,5207
2024,Johor,27,median,5206
2024,Johor,27,minimum,5160
2024,Johor,27,maximum,5254
2024,Johor,28,mean,5308
2024,Johor,28,median,5310
2024,Johor,28,minimum,5259
2024,Johor,28,maximum,5358
2024,Johor,29,mean,5396
2024,Johor,29,median,5396
2024,Johor,29,minimum,5360
2024,Johor,29,maximum,5441
2024,Johor,30,mean,5490
2024,Johor,30,median,5490
2024,Johor,30,minimum,5443
2024,Johor,30,maximum,5532
2024,Johor,31,mean,5582
2024,Johor,31,median,5590
2024,Johor,31,minimum,5533
2024,Johor,31,maximum,5627
2024,Johor,32,mean,5661
2024,Johor,32,median,5660
2024,Johor,32,minimum,5628
2024,Johor,32,maximum,5704
2024,Johor,33,mean,5763
2024,Johor,33,median,5763
2024,Johor,33,minimum,5704
2024,Johor,33,maximum,5813
2024,Johor,34,mean,5857
2024,Johor,34,median,5858
2024,Johor,34,minimum,5819
2024,Johor,34,maximum,5904
2024,Johor,35,mean,5981
2024,Johor,35,median,5986
2024,Johor,35,minimum,5910
2024,Johor,35,maximum,6057
2024,Johor,36,mean,6106
2024,Johor,36,median,6109
2024,Johor,36,minimum,6059
2024,Johor,36,maximum,6152
2024,Johor,37,mean,6203
2024,Johor,37,median,6204
2024,Johor,37,minimum,6153
2024,Johor,37,maximum,6253
2024,Johor,38,mean,6311
2024,Johor,38,median,6313
2024,Johor,38,minimum,6253
2024,Johor,38,maximum,6371
2024,Johor,39,mean,6421
2024,Johor,39,median,6426
2024,Johor,39,minimum,6371
2024,Johor,39,maximum,6468
2024,Johor,40,mean,6516
2024,Johor,40,median,6510
2024,Johor,40,minimum,6469
2024,Johor,40,maximum,6567
2024,Johor,41,mean,6618
2024,Johor,41,median,6612
2024,Johor,41,minimum,6569
2024,Johor,41,maximum,6665
2024,Johor,42,mean,6710
2024,Johor,42,median,6713
2024,Johor,42,minimum,6665
2024,Johor,42,maximum,6756
2024,Johor,43,mean,6826
2024,Johor,43,median,6826
2024,Johor,43,minimum,6760
2024,Johor,43,maximum,6881
2024,Johor,44,mean,6922
2024,Johor,44,median,6920
2024,Johor,44,minimum,6882
2024,Johor,44,maximum,6965
2024,Johor,45,mean,7020
2024,Johor,45,median,7016
2024,Johor,45,minimum,6968
2024,Johor,45,maximum,7066
2024,Johor,46,mean,7124
2024,Johor,46,median,7119
2024,Johor,46,minimum,7067
2024,Johor,46,maximum,7194
2024,Johor,47,mean,7249
2024,Johor,47,median,7255
2024,Johor,47,minimum,7195
2024,Johor,47,maximum,7294
2024,Johor,48,mean,7354
2024,Johor,48,median,7350
2024,Johor,48,minimum,7299
2024,Johor,48,maximum,7408
2024,Johor,49,mean,7486
2024,Johor,49,median,7497
2024,Johor,49,minimum,7409
2024,Johor,49,maximum,7553
2024,Johor,50,mean,7633
2024,Johor,50,median,7627
2024,Johor,50,minimum,7555
2024,Johor,50,maximum,7712
2024,Johor,51,mean,7777
2024,Johor,51,median,7772
2024,Johor,51,minimum,7715
2024,Johor,51,maximum,7832
2024,Johor,52,mean,7906
2024,Johor,52,median,7920
2024,Johor,52,minimum,7836
2024,Johor,52,maximum,7957
2024,Johor,53,mean,8017
2024,Johor,53,median,8022
2024,Johor,53,minimum,7960
2024,Johor,53,maximum,8067
2024,Johor,54,mean,8108
2024,Johor,54,median,8108
2024,Johor,54,minimum,8069
2024,Johor,54,maximum,8152
2024,Johor,55,mean,8203
2024,Johor,55,median,8204
2024,Johor,55,minimum,8152
2024,Johor,55,maximum,8259
2024,Johor,56,mean,8344
2024,Johor,56,median,8345
2024,Johor,56,minimum,8261
2024,Johor,56,maximum,8407
2024,Johor,57,mean,8474
2024,Johor,57,median,8469
2024,Johor,57,minimum,8411
2024,Johor,57,maximum,8554
2024,Johor,58,mean,8643
2024,Johor,58,median,8653
2024,Johor,58,minimum,8554
2024,Johor,58,maximum,8708
2024,Johor,59,mean,8781
2024,Johor,59,median,8776
2024,Johor,59,minimum,8710
2024,Johor,59,maximum,8843
2024,Johor,60,mean,8922
2024,Johor,60,median,8920
2024,Johor,60,minimum,8845
2024,Johor,60,maximum,8989
2024,Johor,61,mean,9052
2024,Johor,61,median,9053
2024,Johor,61,minimum,8990
2024,Johor,61,maximum,9118
2024,Johor,62,mean,9205
2024,Johor,62,median,9218
2024,Johor,62,minimum,9119
2024,Johor,62,maximum,9282
2024,Johor,63,mean,9354
2024,Johor,63,median,9360
2024,Johor,63,minimum,9287
2024,Johor,63,maximum,9428
2024,Johor,64,mean,9516
2024,Johor,64,median,9517
2024,Johor,64,minimum,9429
2024,Johor,64,maximum,9581
2024,Johor,65,mean,9656
2024,Johor,65,median,9655
2024,Johor,65,minimum,9586
2024,Johor,65,maximum,9738
2024,Johor,66,mean,9838
2024,Johor,66,median,9840
2024,Johor,66,minimum,9742
2024,Johor,66,maximum,9932
2024,Johor,67,mean,10043
2024,Johor,67,median,10047
2024,Johor,67,minimum,9934
2024,Johor,67,maximum,10133
2024,Johor,68,mean,10205
2024,Johor,68,median,10192
2024,Johor,68,minimum,10136
2024,Johor,68,maximum,10283
2024,Johor,69,mean,10373
2024,Johor,69,median,10367
2024,Johor,69,minimum,10287
2024,Johor,69,maximum,10448
2024,Johor,70,mean,10536
2024,Johor,70,median,10520
2024,Johor,70,minimum,10454
2024,Johor,70,maximum,10651
2024,Johor,71,mean,10730
2024,Johor,71,median,10731
2024,Johor,71,minimum,10653
2024,Johor,71,maximum,10803
2024,Johor,72,mean,10899
2024,Johor,72,median,10909
2024,Johor,72,minimum,10805
2024,Johor,72,maximum,10972
2024,Johor,73,mean,11065
2024,Johor,73,median,11072
2024,Johor,73,minimum,10976
2024,Johor,73,maximum,11187
2024,Johor,74,mean,11303
2024,Johor,74,median,11314
2024,Johor,74,minimum,11188
2024,Johor,74,maximum,11420
2024,Johor,75,mean,12058
2024,Johor,75,median,12106
2024,Johor,75,minimum,11421
2024,Johor,75,maximum,12639
2024,Johor,76,mean,12735
2024,Johor,76,median,12734
2024,Johor,76,minimum,12640
2024,Johor,76,maximum,12813
2024,Johor,77,mean,12924
2024,Johor,77,median,12918
2024,Johor,77,minimum,12814
2024,Johor,77,maximum,13034
2024,Johor,78,mean,13118
2024,Johor,78,median,13113
2024,Johor,78,minimum,13037
2024,Johor,78,maximum,13199
2024,Johor,79,mean,13277
2024,Johor,79,median,13274
2024,Johor,79,minimum,13202
2024,Johor,79,maximum,13358
2024,Johor,80,mean,13456
2024,Johor,80,median,13460
2024,Johor,80,minimum,13367
2024,Johor,80,maximum,13563
2024,Johor,81,mean,13636
2024,Johor,81,median,13630
2024,Johor,81,minimum,13567
2024,Johor,81,maximum,13738
2024,Johor,82,mean,13825
2024,Johor,82,median,13826
2024,Johor,82,minimum,13741
2024,Johor,82,maximum,13919
2024,Johor,83,mean,14027
2024,Johor,83,median,14015
2024,Johor,83,minimum,13928
2024,Johor,83,maximum,14133
2024,Johor,84,mean,14233
2024,Johor,84,median,14225
2024,Johor,84,minimum,14134
2024,Johor,84,maximum,14320
2024,Johor,85,mean,14461
2024,Johor,85,median,14463
2024,Johor,85,minimum,14326
2024,Johor,85,maximum,14590
2024,Johor,86,mean,14734
2024,Johor,86,median,14717
2024,Johor,86,minimum,14590
2024,Johor,86,maximum,14873
2024,Johor,87,mean,15015
2024,Johor,87,median,14999
2024,Johor,87,minimum,14881
2024,Johor,87,maximum,15228
2024,Johor,88,mean,15503
2024,Johor,88,median,15510
2024,Johor,88,minimum,15230
2024,Johor,88,maximum,15694
2024,Johor,89,mean,15975
2024,Johor,89,median,15986
2024,Johor,89,minimum,15726
2024,Johor,89,maximum,16235
2024,Johor,90,mean,16510
2024,Johor,90,median,16517
2024,Johor,90,minimum,16269
2024,Johor,90,maximum,16734
2024,Johor,91,mean,16956
2024,Johor,91,median,16938
2024,Johor,91,minimum,16735
2024,Johor,91,maximum,17187
2024,Johor,92,mean,17542
2024,Johor,92,median,17541
2024,Johor,92,minimum,17189
2024,Johor,92,maximum,17858
2024,Johor,93,mean,18309
2024,Johor,93,median,18323
2024,Johor,93,minimum,17865
2024,Johor,93,maximum,18858
2024,Johor,94,mean,19302
2024,Johor,94,median,19332
2024,Johor,94,minimum,18903
2024,Johor,94,maximum,19680
2024,Johor,95,mean,20450
2024,Johor,95,median,20561
2024,Johor,95,minimum,19738
2024,Johor,95,maximum,21159
2024,Johor,96,mean,21909
2024,Johor,96,median,21823
2024,Johor,96,minimum,21191
2024,Johor,96,maximum,22952
2024,Johor,97,mean,24222
2024,Johor,97,median,24219
2024,Johor,97,minimum,22987
2024,Johor,97,maximum,25508
2024,Johor,98,mean,26910
2024,Johor,98,median,26869
2024,Johor,98,minimum,25519
2024,Johor,98,maximum,29390
2024,Johor,99,mean,32971
2024,Johor,99,median,32066
2024,Johor,99,minimum,29564
2024,Johor,99,maximum,37762
2024,Johor,100,mean,50560
2024,Johor,100,median,44174
2024,Johor,100,minimum,38157
2024,Johor,100,maximum,
2024,Kedah,1,mean,1172
2024,Kedah,1,median,1178
2024,Kedah,1,minimum,
2024,Kedah,1,maximum,1298
2024,Kedah,2,mean,1398
2024,Kedah,2,median,1414
2024,Kedah,2,minimum,1301
2024,Kedah,2,maximum,1461
2024,Kedah,3,mean,1508
2024,Kedah,3,median,1504
2024,Kedah,3,minimum,1461
2024,Kedah,3,maximum,1566
2024,Kedah,4,mean,1603
2024,Kedah,4,median,1595
2024,Kedah,4,minimum,1568
2024,Kedah,4,maximum,1652
2024,Kedah,5,mean,1688
2024,Kedah,5,median,1690
2024,Kedah,5,minimum,1655
2024,Kedah,5,maximum,1729
2024,Kedah,6,mean,1775
2024,Kedah,6,median,1776
2024,Kedah,6,minimum,1733
2024,Kedah,6,maximum,1807
2024,Kedah,7,mean,1853
2024,Kedah,7,median,1853
2024,Kedah,7,minimum,1808
2024,Kedah,7,maximum,1888
2024,Kedah,8,mean,1933
2024,Kedah,8,median,1934
2024,Kedah,8,minimum,1890
2024,Kedah,8,maximum,1965
2024,Kedah,9,mean,2012
2024,Kedah,9,median,2017
2024,Kedah,9,minimum,1967
2024,Kedah,9,maximum,2034
2024,Kedah,10,mean,2146
2024,Kedah,10,median,2164
2024,Kedah,10,minimum,2036
2024,Kedah,10,maximum,2200
2024,Kedah,11,mean,2253
2024,Kedah,11,median,2248
2024,Kedah,11,minimum,2200
2024,Kedah,11,maximum,2296
2024,Kedah,12,mean,2343
2024,Kedah,12,median,2354
2024,Kedah,12,minimum,2296
2024,Kedah,12,maximum,2379
2024,Kedah,13,mean,2418
2024,Kedah,13,median,2421
2024,Kedah,13,minimum,2383
2024,Kedah,13,maximum,2451
2024,Kedah,14,mean,2484
2024,Kedah,14,median,2481
2024,Kedah,14,minimum,2454
2024,Kedah,14,maximum,2520
2024,Kedah,15,mean,2565
2024,Kedah,15,median,2567
2024,Kedah,15,minimum,2532
2024,Kedah,15,maximum,2593
2024,Kedah,16,mean,2622
2024,Kedah,16,median,2625
2024,Kedah,16,minimum,2594
2024,Kedah,16,maximum,2648
2024,Kedah,17,mean,2674
2024,Kedah,17,median,2676
2024,Kedah,17,minimum,2648
2024,Kedah,17,maximum,2705
2024,Kedah,18,mean,2741
2024,Kedah,18,median,2738
2024,Kedah,18,minimum,2706
2024,Kedah,18,maximum,2771
2024,Kedah,19,mean,2809
2024,Kedah,19,median,2805
2024,Kedah,19,minimum,2772
2024,Kedah,19,maximum,2844
2024,Kedah,20,mean,2867
2024,Kedah,20,median,2871
2024,Kedah,20,minimum,2845
2024,Kedah,20,maximum,2890
2024,Kedah,21,mean,2916
2024,Kedah,21,median,2916
2024,Kedah,21,minimum,2890
2024,Kedah,21,maximum,2950
2024,Kedah,22,mean,2979
2024,Kedah,22,median,2982
2024,Kedah,22,minimum,2951
2024,Kedah,22,maximum,3001
2024,Kedah,23,mean,3032
2024,Kedah,23,median,3031
2024,Kedah,23,minimum,3001
2024,Kedah,23,maximum,3057
2024,Kedah,24,mean,3083
2024,Kedah,24,median,3077
2024,Kedah,24,minimum,3057
2024,Kedah,24,maximum,3112
2024,Kedah,25,mean,3137
2024,Kedah,25,median,3137
2024,Kedah,25,minimum,3115
2024,Kedah,25,maximum,3162
2024,Kedah,26,mean,3180
2024,Kedah,26,median,3180
2024,Kedah,26,minimum,3163
2024,Kedah,26,maximum,3204
2024,Kedah,27,mean,3233
2024,Kedah,27,median,3236
2024,Kedah,27,minimum,3205
2024,Kedah,27,maximum,3262
2024,Kedah,28,mean,3282
2024,Kedah,28,median,3273
2024,Kedah,28,minimum,3263
2024,Kedah,28,maximum,3309
2024,Kedah,29,mean,3336
2024,Kedah,29,median,3338
2024,Kedah,29,minimum,3312
2024,Kedah,29,maximum,3361
2024,Kedah,30,mean,3390
2024,Kedah,30,median,3390
2024,Kedah,30,minimum,3363
2024,Kedah,30,maximum,3420
2024,Kedah,31,mean,3444
2024,Kedah,31,median,3446
2024,Kedah,31,minimum,3422
2024,Kedah,31,maximum,3463
2024,Kedah,32,mean,3489
2024,Kedah,32,median,3485
2024,Kedah,32,minimum,3465
2024,Kedah,32,maximum,3512
2024,Kedah,33,mean,3543
2024,Kedah,33,median,3544
2024,Kedah,33,minimum,3515
2024,Kedah,33,maximum,3562
2024,Kedah,34,mean,3589
2024,Kedah,34,median,3586
2024,Kedah,34,minimum,3565
2024,Kedah,34,maximum,3615
2024,Kedah,35,mean,3640
2024,Kedah,35,median,3640
2024,Kedah,35,minimum,3615
2024,Kedah,35,maximum,3661
2024,Kedah,36,mean,3682
2024,Kedah,36,median,3681
2024,Kedah,36,minimum,3661
2024,Kedah,36,maximum,3700
2024,Kedah,37,mean,3726
2024,Kedah,37,median,3721
2024,Kedah,37,minimum,3702
2024,Kedah,37,maximum,3756
2024,Kedah,38,mean,3777
2024,Kedah,38,median,3775
2024,Kedah,38,minimum,3757
2024,Kedah,38,maximum,3799
2024,Kedah,39,mean,3838
2024,Kedah,39,median,3835
2024,Kedah,39,minimum,3800
2024,Kedah,39,maximum,3874
2024,Kedah,40,mean,3896
2024,Kedah,40,median,3894
2024,Kedah,40,minimum,3874
2024,Kedah,40,maximum,3936
2024,Kedah,41,mean,4039
2024,Kedah,41,median,4033
2024,Kedah,41,minimum,3954
2024,Kedah,41,maximum,4137
2024,Kedah,42,mean,4210
2024,Kedah,42,median,4207
2024,Kedah,42,minimum,4144
2024,Kedah,42,maximum,4264
2024,Kedah,43,mean,4340
2024,Kedah,43,median,4348
2024,Kedah,43,minimum,4264
2024,Kedah,43,maximum,4396
2024,Kedah,44,mean,4436
2024,Kedah,44,median,4430
2024,Kedah,44,minimum,4396
2024,Kedah,44,maximum,4471
2024,Kedah,45,mean,4504
2024,Kedah,45,median,4510
2024,Kedah,45,minimum,4471
2024,Kedah,45,maximum,4541
2024,Kedah,46,mean,4585
2024,Kedah,46,median,4588
2024,Kedah,46,minimum,4541
2024,Kedah,46,maximum,4624
2024,Kedah,47,mean,4653
2024,Kedah,47,median,4652
2024,Kedah,47,minimum,4626
2024,Kedah,47,maximum,4684
2024,Kedah,48,mean,4720
2024,Kedah,48,median,4711
2024,Kedah,48,minimum,4688
2024,Kedah,48,maximum,4766
2024,Kedah,49,mean,4799
2024,Kedah,49,median,4797
2024,Kedah,49,minimum,4769
2024,Kedah,49,maximum,4836
2024,Kedah,50,mean,4867
2024,Kedah,50,median,4866
2024,Kedah,50,minimum,4841
2024,Kedah,50,maximum,4895
2024,Kedah,51,mean,4936
2024,Kedah,51,median,4938
2024,Kedah,51,minimum,4896
2024,Kedah,51,maximum,4972
2024,Kedah,52,mean,5011
2024,Kedah,52,median,5014
2024,Kedah,52,minimum,4973
2024,Kedah,52,maximum,5044
2024,Kedah,53,mean,5074
2024,Kedah,53,median,5076
2024,Kedah,53,minimum,5047
2024,Kedah,53,maximum,5105
2024,Kedah,54,mean,5153
2024,Kedah,54,median,5155
2024,Kedah,54,minimum,5106
2024,Kedah,54,maximum,5189
2024,Kedah,55,mean,5220
2024,Kedah,55,median,5217
2024,Kedah,55,minimum,5190
2024,Kedah,55,maximum,5256
2024,Kedah,56,mean,5299
2024,Kedah,56,median,5294
2024,Kedah,56,minimum,5260
2024,Kedah,56,maximum,5333
2024,Kedah,57,mean,5362
2024,Kedah,57,median,5359
2024,Kedah,57,minimum,5333
2024,Kedah,57,maximum,5394
2024,Kedah,58,mean,5437
2024,Kedah,58,median,5434
2024,Kedah,58,minimum,5395
2024,Kedah,58,maximum,5486
2024,Kedah,59,mean,5530
2024,Kedah,59,median,5532
2024,Kedah,59,minimum,5487
2024,Kedah,59,maximum,5586
2024,Kedah,60,mean,5630
2024,Kedah,60,median,5630
2024,Kedah,60,minimum,5588
2024,Kedah,60,maximum,5674
2024,Kedah,61,mean,5709
2024,Kedah,61,median,5704
2024,Kedah,61,minimum,5676
2024,Kedah,61,maximum,5744
2024,Kedah,62,mean,5802
2024,Kedah,62,median,5797
2024,Kedah,62,minimum,5751
2024,Kedah,62,maximum,5850
2024,Kedah,63,mean,5889
2024,Kedah,63,median,5891
2024,Kedah,63,minimum,5860
2024,Kedah,63,maximum,5912
2024,Kedah,64,mean,5946
2024,Kedah,64,median,5941
2024,Kedah,64,minimum,5913
2024,Kedah,64,maximum,5992
2024,Kedah,65,mean,6044
2024,Kedah,65,median,6050
2024,Kedah,65,minimum,5995
2024,Kedah,65,maximum,6099
2024,Kedah,66,mean,6143
2024,Kedah,66,median,6144
2024,Kedah,66,minimum,6100
2024,Kedah,66,maximum,6204
2024,Kedah,67,mean,6292
2024,Kedah,67,median,6300
2024,Kedah,67,minimum,6217
2024,Kedah,67,maximum,6361
2024,Kedah,68,mean,6427
2024,Kedah,68,median,6438
2024,Kedah,68,minimum,6363
2024,Kedah,68,maximum,6480
2024,Kedah,69,mean,6536
2024,Kedah,69,median,6534
2024,Kedah,69,minimum,6485
2024,Kedah,69,maximum,6583
2024,Kedah,70,mean,6635
2024,Kedah,70,median,6638
2024,Kedah,70,minimum,6584
2024,Kedah,70,maximum,6683
2024,Kedah,71,mean,6736
2024,Kedah,71,median,6734
2024,Kedah,71,minimum,6684
2024,Kedah,71,maximum,6790
2024,Kedah,72,mean,6832
2024,Kedah,72,median,6828
2024,Kedah,72,minimum,6792
2024,Kedah,72,maximum,6870
2024,Kedah,73,mean,6919
2024,Kedah,73,median,6926
2024,Kedah,73,minimum,6871
2024,Kedah,73,maximum,6956
2024,Kedah,74,mean,6999
2024,Kedah,74,median,7004
2024,Kedah,74,minimum,6956
2024,Kedah,74,maximum,7038
2024,Kedah,75,mean,7078
2024,Kedah,75,median,7080
2024,Kedah,75,minimum,7041
2024,Kedah,75,maximum,7119
2024,Kedah,76,mean,7190
2024,Kedah,76,median,7190
2024,Kedah,76,minimum,7121
2024,Kedah,76,maximum,7276
2024,Kedah,77,mean,7324
2024,Kedah,77,median,7320
2024,Kedah,77,minimum,7276
2024,Kedah,77,maximum,7376
2024,Kedah,78,mean,7440
2024,Kedah,78,median,7439
2024,Kedah,78,minimum,7377
2024,Kedah,78,maximum,7510
2024,Kedah,79,mean,7564
2024,Kedah,79,median,7547
2024,Kedah,79,minimum,7513
2024,Kedah,79,maximum,7637
2024,Kedah,80,mean,7720
2024,Kedah,80,median,7720
2024,Kedah,80,minimum,7639
2024,Kedah,80,maximum,7816
2024,Kedah,81,mean,7937
2024,Kedah,81,median,7932
2024,Kedah,81,minimum,7818
2024,Kedah,81,maximum,8065
2024,Kedah,82,mean,8297
2024,Kedah,82,median,8329
2024,Kedah,82,minimum,8074
2024,Kedah,82,maximum,8433
2024,Kedah,83,mean,8550
2024,Kedah,83,median,8550
2024,Kedah,83,minimum,8439
2024,Kedah,83,maximum,8654
2024,Kedah,84,mean,8789
2024,Kedah,84,median,8795
2024,Kedah,84,minimum,8662
2024,Kedah,84,maximum,8886
2024,Kedah,85,mean,9011
2024,Kedah,85,median,9013
2024,Kedah,85,minimum,8897
2024,Kedah,85,maximum,9105
2024,Kedah,86,mean,9232
2024,Kedah,86,median,9254
2024,Kedah,86,minimum,9107
2024,Kedah,86,maximum,9341
2024,Kedah,87,mean,9499
2024,Kedah,87,median,9497
2024,Kedah,87,minimum,9346
2024,Kedah,87,maximum,9624
2024,Kedah,88,mean,9732
2024,Kedah,88,median,9717
